0.0	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
0.5	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
1.0	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
1.5	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
2.0	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
2.5	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
3.0	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
3.5	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
4.0	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
4.5	[48.35785099298476, 48.434219427495634, 48.552033594710956, 48.5641879653107, 47.99877891202527, 48.042076101262566, 49.26553796862082, 49.22795406167132, 51.057577027760594, 52.87603277984777, 54.739744638539214, 56.645487646272244, 58.50597250462556, 59.95726100327187, 58.414696531473574, 49.283220948001976, 47.98613060771758, 54.811934419025945, 54.48323577891878, 54.3446120054091, 53.298963942314124]	[55.73920570849123, 55.790199961834695, 55.78207475780423, 54.85551038168649, 48.8248381870921, 51.44458258327923, 51.167416172489474, 49.14844793453816, 51.523347678820755, 54.76592109624845, 58.716911814856296, 63.15664406807937, 67.63044902534638, 71.7417715669374, 72.24356778048222, 62.87956384711493, 55.10770742014596, 47.882139327134176, 45.7346814245038, 44.865563964404984, 44.4861085231434]	[53.78313929384514, 52.53057063033905, 49.70686251343168, 48.961637860965816, 56.33539796935379, 60.11982503327011, 59.26158780618018, 60.5521478920892, 64.57353478793952, 69.33957690953422, 74.02747970276343, 78.4026516014564, 82.27060462347559, 85.28828987892575, 85.72643113112701, 89.26077919779873, 78.17811789226613, 59.14321666899664, 54.70343864204551, 53.42764818996072, 52.592962392392465]	[45.68884651061838, 44.903210713541576, 45.45641982143787, 50.63585389773338, 50.8861262918358, 47.060556126979805, 47.68060110188185, 48.114176156802415, 48.9023572668237, 49.96217130105177, 51.24115115527217, 52.37230176024414, 53.14515749951665, 53.68484993516262, 54.431905150124074, 51.858542407410226, 51.43645573084628, 50.8713875065329, 50.62165726670255, 50.0993178405437, 49.533087591770176]	[30.728483476168478, 28.8089868202253, 28.43991236044526, 28.91076502254538, 30.045463276846306, 32.0720591606844, 34.94710064148772, 38.38843591692586, 41.936034087932654, 45.38029066764128, 48.477227640117924, 51.10423697184366, 53.20928170890776, 54.793788170994986, 55.94152264214793, 56.77623548726455, 57.40942001881509, 57.92547196028352, 58.36494324072532, 58.69034535235011, 58.68602506952798]	[55.077708146587355, 54.90058980486645, 54.69899270217798, 54.45840706492926, 54.16669757773357, 53.81738300444855, 53.38534964558556, 52.81210768743214, 52.011747700629286, 50.953526455450834, 49.71086122842094, 48.408628285654515, 47.18154772879933, 46.028844801117025, 45.11526466735071, 44.477949885996985, 44.1235109113278, 44.06121702896334, 44.16510847813488, 44.21210003780532, 44.09264075484642]	[48.78715761104768, 53.19684144604878, 55.238529869952416, 52.032417717432054, 42.72584949201977, 35.87035518216746, 36.6657218271804, 35.23582361006847, 36.556100654469965, 38.69007480726209, 40.89263191891706, 43.07283027201218, 45.57216070508952, 49.434762707309474, 50.630258661080596, 52.746652504969504, 54.42038184484033, 53.8714836638418, 53.881888183418326, 53.910507286181954, 53.93919853875555]	
